Tipo Dato,Descrizione Test,Dimensione Non Compressa (Byte),Dimensione Compressa (Byte),Riduzione (Byte),Percentuale Riduzione (%)
text,Testo 10KB,10240,8542,1698,16.58
text,Testo 50KB,51200,8949,42251,82.52
text,Testo 100KB,102400,9415,92985,90.80
text,Testo 250KB,256000,10684,245316,95.82
text,Testo 500KB,512000,12666,499334,97.52
text,Testo 1MB,1048576,20054,1028522,98.08
text,Testo 2MB,2097152,31321,2065831,98.50
text,Testo 5MB,5242880,45300,5197580,99.13
text,Testo 10MB,10485760,80889,10404871,99.22
text,Testo 15MB,15728640,116462,15612178,99.25
text,Testo 20MB,20971520,152035,20819485,99.27
json,JSON 100 voci,16315,2108,14207,87.07
json,JSON 500 voci,81546,8553,72993,89.51
json,JSON 1000 voci,163058,16410,146648,89.93
json,JSON 5000 voci,819401,80096,739305,90.22
json,JSON 10000 voci,1639627,159600,1480027,90.26
json,JSON 25000 voci,4115624,397678,3717946,90.33
json,JSON 50000 voci,8242005,794167,7447838,90.36
json,JSON 75000 voci,12368878,1190660,11178218,90.37
json,JSON 100000 voci,16495319,1587781,14907538,90.37
json,JSON 125000 voci,16495501,1587146,14908355,90.37
json,JSON 150000 voci,16495173,1587752,14907421,90.37
binary,Binario 10KB,20508,11991,8517,41.53
binary,Binario 50KB,102428,58822,43606,42.57
binary,Binario 100KB,204828,117285,87543,42.73
binary,Binario 250KB,512028,292187,219841,42.93
binary,Binario 500KB,1024028,583482,440546,43.02
binary,Binario 1MB,2097180,1194911,902269,43.02
binary,Binario 2MB,4194332,2389092,1805240,43.03
binary,Binario 3MB,6291484,3583940,2707544,43.03
binary,Binario 4MB,8388636,4777909,3610727,43.04
binary,Binario 5MB,10485788,5971860,4513928,43.04
binary,Binario 10MB,20971548,11943217,9028331,43.05
